,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
72167,Bishop Museum,,23238,G0jBdsUAAAAJ,{'indices'},ichthyology|systematics|fishes,John (Jack) E. Randall (1994-2020),https://scholar.google.com/citations?view_op=medium_photo&user=G0jBdsUAAAAJ,5803,61,31,374,103,0,0
72168,"Professor Emeritus of Biological Sciences, University of Alberta, and Department of Biology …",@ualberta.ca,22150,RsE4raIAAAAJ,{'indices'},fish paleontology|paleoichthyology|fish systematics|fish morphology|ichthyology,Mark VH Wilson,https://scholar.google.com/citations?view_op=medium_photo&user=RsE4raIAAAAJ,6436,49,21,148,71,0,0
72169,Old Dominion University,@odu.edu,19909,bipKe3QAAAAJ,{'indices'},Conservation Biology|Ichthyology,Kent Carpenter,https://scholar.google.com/citations?view_op=medium_photo&user=bipKe3QAAAAJ,10791,55,40,115,92,0,0
72170,"Professor of Evolution and Ecology, University of California, Davis",@ucdavis.edu,19825,YThey14AAAAJ,{'indices'},Evolution|ichthyology|functional morphology,Peter C Wainwright,https://scholar.google.com/citations?view_op=medium_photo&user=YThey14AAAAJ,7683,79,44,202,163,0,0
72171,,@dplanet.ch,17700,xHGwO_cAAAAJ,{'indices'},Fish Systematics|Ichthyology|nomenclature,Maurice Kottelat,https://scholar.google.com/citations?view_op=medium_photo&user=xHGwO_cAAAAJ,7450,45,27,189,68,0,0
72172,"Institute of Biological, Environmental and Rural Sciences, University of Aberystwyth",,16167,hi6fcLEAAAAJ,{'indices'},Ichthyology|Fish Biology|Ecology,RJ Wootton,https://scholar.google.com/citations?view_op=medium_photo&user=hi6fcLEAAAAJ,3581,49,23,106,48,0,0
72173,Scripps Institute of Oceanography,,15613,tNYQzksAAAAJ,{'indices'},ichthyology|systematics|fishes,Carl L. Hubbs (1894-1979),https://scholar.google.com/citations?view_op=medium_photo&user=tNYQzksAAAAJ,1789,60,16,208,35,0,0
72174,Systematics Laboratory,@si.edu,13855,oJZBu-IAAAAJ,{'indices'},ichthyology,Bruce Collette,https://scholar.google.com/citations?view_op=medium_photo&user=oJZBu-IAAAAJ,4247,55,26,141,70,0,0
72175,"Natural History Museum and Institute, Chiba",@chiba-muse.or.jp,13573,aTG4wPQAAAAJ,{'indices'},ichthyology|fish systematics|fish biology|metabarcoding|environmental DNA,Masaki MIYA （宮 正樹）,https://scholar.google.com/citations?view_op=medium_photo&user=aTG4wPQAAAAJ,5579,68,38,135,104,0,0
72176,"Stanford University and Dept. Vertebrate Zoology, National Museum of Natural History …",@si.edu,13521,xljeLXIAAAAJ,{'indices'},Taxonomy|Ichthyology,David Starr Jordan (1851-1931),https://scholar.google.com/citations?view_op=medium_photo&user=xljeLXIAAAAJ,2115,53,20,267,54,0,0
72177,"Affiliate Professor, Oregon State University",,13197,0cAg1MIAAAAJ,{'indices'},biogeography|ichthyology|ecology,John C. Briggs,https://scholar.google.com/citations?view_op=medium_photo&user=0cAg1MIAAAAJ,3198,46,22,100,51,0,0
72178,American Museum of Natural History,,12453,P9NYYCMAAAAJ,{'indices'},ichthyology|systematics|fishes,Donn E. Rosen (1929-1986),https://scholar.google.com/citations?view_op=medium_photo&user=P9NYYCMAAAAJ,1369,35,18,50,25,0,0
72179,"Professor Emeritus, Moss Landing Marine Laboratories",@mlml.calstate.edu,12361,cYt-NO8AAAAJ,{'indices'},Ichthyology|Marine Ecology|Population Biology|Age|Growth,Gregor Cailliet,https://scholar.google.com/citations?view_op=medium_photo&user=cYt-NO8AAAAJ,3121,59,28,146,77,0,0
72180,"Institute for Marine and Antarctic Studies, Uni of Tasmania& Australian Museum Research …",@utas.edu.au,11081,9R6vJQoAAAAJ,{'indices'},ichthyology|larval fish biology|phylogeny|life history studies,Jeffrey M Leis,https://scholar.google.com/citations?view_op=medium_photo&user=9R6vJQoAAAAJ,2770,52,27,118,69,0,0
72181,"Emeritus Curator, Ichthyology, Academy of Natural Sciences, Philadelphia",@ansp.org,10935,gsRwXP0AAAAJ,{'indices'},ichthyology|systematics|evolution|biogeography,John Lundberg,https://scholar.google.com/citations?view_op=medium_photo&user=gsRwXP0AAAAJ,4435,45,26,81,57,0,0
